Round	Tiger	Deer	Monkey	Cat	Snake
1	83	1	54	91	73	
2	79	1	52	90	72	
3	76	1	50	86	67	
4	75	1	47	75	65	
5	75	1	47	75	65	
6	75	1	47	75	65	
7	75	1	47	75	65	
8	75	1	46	73	64	
9	75	1	46	73	64	
10	75	1	46	73	64	
11	74	0	46	73	64	
12	74	0	46	73	64	
13	74	0	45	72	64	
14	74	0	44	72	63	
15	74	0	44	72	63	
16	74	0	44	72	63	
17	74	0	44	72	63	
18	72	0	44	72	63	
19	72	0	44	72	61	
20	72	0	44	71	60	
21	72	0	44	71	60	
22	72	0	44	71	60	
23	72	0	44	71	60	
24	72	0	44	71	60	
25	72	0	44	71	60	
26	72	0	44	71	60	
27	72	0	44	71	60	
28	72	0	44	71	60	
29	72	0	44	71	60	
30	72	0	44	71	60	
31	71	0	44	71	59	
32	71	0	44	71	59	
33	69	0	44	71	59	
34	69	0	44	71	59	
35	69	0	44	71	59	
36	69	0	44	71	59	
37	69	0	44	71	59	
38	69	0	44	71	59	
39	69	0	44	71	59	
40	69	0	44	69	59	
41	69	0	44	69	59	
42	69	0	44	69	59	
43	69	0	44	69	59	
44	69	0	44	69	59	
45	69	0	44	69	59	
46	67	0	43	69	58	
47	67	0	43	69	58	
48	67	0	43	69	58	
49	67	0	43	69	58	
50	67	0	43	69	58	
51	67	0	43	69	58	
52	67	0	43	69	58	
53	67	0	43	69	58	
54	67	0	43	69	58	
55	67	0	43	69	58	
56	67	0	43	69	58	
57	67	0	43	69	58	
58	67	0	43	69	58	
59	67	0	43	69	58	
60	67	0	43	69	58	
61	67	0	43	69	58	
62	67	0	43	69	58	
63	67	0	43	69	58	
64	67	0	43	69	58	
65	67	0	43	69	58	
66	67	0	43	69	58	
67	67	0	43	69	58	
68	67	0	43	69	58	
69	67	0	43	69	58	
70	67	0	43	69	58	
71	67	0	43	69	58	
72	67	0	43	69	58	
73	67	0	43	69	58	
74	67	0	43	69	58	
75	67	0	43	69	58	
76	67	0	43	69	58	
77	67	0	43	69	58	
78	67	0	43	69	58	
79	67	0	43	69	58	
80	66	0	43	68	58	
81	66	0	43	68	58	
82	66	0	43	68	58	
83	66	0	43	68	58	
84	66	0	43	68	58	
85	66	0	43	68	58	
86	66	0	43	68	58	
87	66	0	43	68	58	
88	66	0	43	68	58	
89	66	0	43	68	58	
90	66	0	43	68	58	
91	66	0	43	68	58	
92	66	0	43	68	58	
93	66	0	43	68	58	
94	66	0	42	67	58	
95	66	0	42	67	58	
96	66	0	42	67	58	
97	66	0	42	67	58	
98	66	0	42	67	58	
99	66	0	42	67	58	
100	66	0	42	67	58	
